function	size	time
lu	1	0.000002
solve	1	0.000001
lu	1	0.000001
solve	1	0.000001
lu	1	0.000001
solve	1	0.000001
lu	1	0.000001
solve	1	0.000001
lu	1	0.000001
solve	1	0.000001
lu	1	0.000001
solve	1	0.000001
lu	1	0.000001
solve	1	0.000001
lu	1	0.000001
solve	1	0.000001
lu	1	0.000001
solve	1	0.000001
lu	1	0.000001
solve	1	0.000001
lu	2	0.000001
solve	2	0.000001
lu	2	0.000001
solve	2	0.000001
lu	2	0.000001
solve	2	0.000001
lu	2	0.000001
solve	2	0.000001
lu	2	0.000001
solve	2	0.000001
lu	2	0.000001
solve	2	0.000001
lu	2	0.000001
solve	2	0.000001
lu	2	0.000001
solve	2	0.000001
lu	2	0.000001
solve	2	0.000001
lu	2	0.000001
solve	2	0.000001
lu	3	0.000001
solve	3	0.000002
lu	3	0.000001
solve	3	0.000001
lu	3	0.000001
solve	3	0.000001
lu	3	0.000001
solve	3	0.000001
lu	3	0.000001
solve	3	0.000001
lu	3	0.000001
solve	3	0.000001
lu	3	0.000001
solve	3	0.000001
lu	3	0.000001
solve	3	0.000001
lu	3	0.000001
solve	3	0.000001
lu	3	0.000001
solve	3	0.000001
lu	4	0.000002
solve	4	0.000001
lu	4	0.000001
solve	4	0.000002
lu	4	0.000001
solve	4	0.000001
lu	4	0.000001
solve	4	0.000001
lu	4	0.000001
solve	4	0.000001
lu	4	0.000002
solve	4	0.000001
lu	4	0.000001
solve	4	0.000001
lu	4	0.000001
solve	4	0.000001
lu	4	0.000002
solve	4	0.000001
lu	4	0.000001
solve	4	0.000001
lu	5	0.000001
solve	5	0.000001
lu	5	0.000001
solve	5	0.000001
lu	5	0.000001
solve	5	0.000002
lu	5	0.000001
solve	5	0.000001
lu	5	0.000001
solve	5	0.000001
lu	5	0.000001
solve	5	0.000001
lu	5	0.000001
solve	5	0.000001
lu	5	0.000002
solve	5	0.000001
lu	5	0.000001
solve	5	0.000001
lu	5	0.000001
solve	5	0.000001
lu	6	0.000004
solve	6	0.000003
lu	6	0.000003
solve	6	0.000003
lu	6	0.000003
solve	6	0.000003
lu	6	0.000003
solve	6	0.000003
lu	6	0.000004
solve	6	0.000003
lu	6	0.000004
solve	6	0.000003
lu	6	0.000003
solve	6	0.000003
lu	6	0.000003
solve	6	0.000004
lu	6	0.000003
solve	6	0.000004
lu	6	0.000003
solve	6	0.000003
lu	7	0.000002
solve	7	0.000001
lu	7	0.000002
solve	7	0.000001
lu	7	0.000002
solve	7	0.000002
lu	7	0.000002
solve	7	0.000002
lu	7	0.000002
solve	7	0.000001
lu	7	0.000002
solve	7	0.000001
lu	7	0.000002
solve	7	0.000002
lu	7	0.000002
solve	7	0.000001
lu	7	0.000002
solve	7	0.000002
lu	7	0.000002
